Date,Close,High,Low,Open,Volume,EMA_10,EMA_20,EMA_50,RS_NIFTY,Sector,RS_Sector
2018-03-27,460.9120788574219,482.3217456348856,439.7923732742945,482.3217456348856,91036634,460.9120788574219,460.9120788574219,460.9120788574219,,Financial Services,
2018-03-28,453.3727416992188,462.8935270933674,447.5249650776879,448.3465610858772,12056881,459.5412902832031,460.19404674711683,460.61641857670804,,Financial Services,
2018-04-02,459.8005065917969,468.7896572934444,456.2241613247541,459.0272276028695,5239378,459.58842052112925,460.15656673232445,460.58442202828013,,Financial Services,
2018-04-03,467.2914733886719,469.6595683820164,453.4694101823546,458.1573126352049,2796977,460.98897558795517,460.8360816519766,460.8474436502563,,Financial Services,
2018-04-04,469.8045654296875,472.4626511973637,462.0236352542487,468.403046996187,2459030,462.59181010463374,461.69022296413954,461.19870332788105,,Financial Services,
2018-04-05,492.1808166503906,497.6903150708918,471.0127655066794,473.6225341264068,8163440,467.9716294765895,464.5940890294968,462.41368816405793,,Financial Services,
2018-04-06,491.2625732421875,500.3967342141428,488.3145263134495,495.3705239284232,1844654,472.20634652488,467.13394466880067,463.5450169906512,,Financial Services,
2018-04-09,497.25537109375,502.52322565331446,479.470337074805,491.7941894044924,2656272,476.7607146283109,470.00265194736727,464.866991661361,,Financial Services,
2018-04-10,501.3149719238281,503.393076194914,493.14738794056393,497.7869437728139,1731872,481.22512504567766,472.9847776594111,466.29632422067345,,Financial Services,
2018-04-11,515.6686401367188,517.1185051043009,495.853818913096,502.5232213620365,3555719,487.48758233495784,477.0499074191547,468.23249347228307,,Financial Services,
2018-04-12,516.8768310546875,522.7246076200904,508.51591996037,512.2855922561653,1884412,492.83108210218137,480.84294776539593,470.14011455394603,,Financial Services,
2018-04-13,510.9806823730469,519.0032553991994,508.8058852818831,515.1852664845715,1057977,496.1310094241569,483.7132082042199,471.74170544881275,,Financial Services,
2018-04-16,501.4599609375,514.5570629213906,498.8501921485136,506.3895373156207,760439,497.09990969931016,485.4033751311989,472.90712723268285,,Financial Services,
2018-04-17,488.21783447265625,503.97305036114886,483.2882880351821,502.6198195565895,1156139,495.48498693082763,485.6714188780044,473.50754712444655,,Financial Services,
2018-04-18,487.2995910644531,496.33708824952464,484.2548806485138,491.02091690507984,815508,493.9967331369413,485.8264828957614,474.0484115926821,,Financial Services,
2018-04-19,488.21783447265625,491.8908136626932,485.22144118732285,488.3144980297785,589106,492.9460242888895,486.05423066498946,474.60407523503403,,Financial Services,
2018-04-20,478.5037231445313,493.43734307380726,476.6189165159586,488.21783545207165,949874,490.3201513535516,485.3351347106601,474.7570026040339,,Financial Services,
2018-04-23,481.69342041015625,487.44453307448543,465.64824408648826,479.4219596614389,2474228,488.7516548183888,484.98830477727876,475.0290189885878,,Financial Services,
2018-04-24,473.4775390625,485.51139966931146,469.75621336574585,483.2882853557056,1200876,485.97454286277264,483.89204137587126,474.9681766385452,,Financial Services,
2018-04-25,477.77880859375,480.4852408120208,469.0313020343859,473.670857983454,1313604,484.484409359314,483.309828729955,475.0783974995336,,Financial Services,
2018-04-26,478.4554138183594,484.64149811770767,474.6857710029422,480.4852305643769,1878261,483.38822835186767,482.84750350027923,475.2108295120366,,Financial Services,
2018-04-27,489.5227661132813,505.4712811615291,481.838469791003,482.12843099284856,5635987,484.50359885394283,483.48324279675563,475.77208192777164,0.011599208936011296,Financial Services,
2018-04-30,496.2887878417969,498.6569124099484,485.8980889568816,492.4707983129595,1461600,486.6463604880981,484.70281851533093,476.57665863028245,0.03088721427594221,Financial Services,
2018-05-02,498.60845947265625,503.489717950168,493.9205870875941,495.8537400703245,1319363,488.8212875761995,486.0271652731714,477.4406508201795,0.033181731567494044,Financial Services,
2018-05-03,485.2698059082031,497.78698559750205,479.8086536162124,494.8389385497912,861937,488.17556363656377,485.95503580984115,477.74767650990594,-0.0037912771291420677,Financial Services,
2018-05-04,487.7345581054688,489.08775944552593,483.771588147205,486.1880296464418,1078225,488.0953808127283,486.12451412371047,478.1393189254182,-0.009728658995625139,Financial Services,
2018-05-07,477.9721374511719,491.0209217900815,476.1839648089169,490.0543451723845,764766,486.25479111062714,485.34809729775446,478.1327627891732,-0.06424567338835296,Financial Services,
2018-05-08,477.8271484375,480.3885705297428,473.6225343250985,480.3402534987404,568372,484.72249244278584,484.6318164539207,478.12077791263704,-0.06239682585475215,Financial Services,
2018-05-09,472.2693481445313,478.6970768457716,469.07962756139887,475.5557027927706,505802,482.45828438855773,483.4544385196931,477.8913100785937,-0.08228592993468542,Financial Services,
2018-05-10,470.1912231445313,477.3922014877644,467.8714155867005,473.6225584526569,251959,480.2279096169165,482.1912751506301,477.589345885101,-0.08959183645598767,Financial Services,
2018-05-11,468.1614074707031,475.74904009125487,464.1984372965061,470.2878584073508,1030945,478.03400013578675,480.85509727635133,477.21962281002664,-0.12483736884195984,Financial Services,
2018-05-14,463.9084777832031,473.042609482615,462.4102662680595,467.8231014404398,377154,475.4657233444079,479.24113351509914,476.69761712270025,-0.1313759921787706,Financial Services,
2018-05-15,467.6780700683594,473.4291828478644,457.6739968666896,467.72638709687584,1463884,474.04978638512625,478.1398893773144,476.3439093950791,-0.11196409111105277,Financial Services,
2018-05-16,466.3731994628906,468.69297735344986,459.1238751189079,463.8600944574613,432584,472.6540433083561,477.01925224260737,475.9529011624443,-0.08839042804414243,Financial Services,
2018-05-17,467.6780700683594,470.72278030428265,461.6852836535457,466.8564741005514,477080,471.74932090108393,476.12961584505996,475.6283979822841,-0.0540868241050102,Financial Services,
2018-05-18,463.5217895507813,468.8379607684311,462.0236076430196,464.9716544283221,294337,470.25340611011984,474.9288704837001,475.153629024186,-0.0550966838211151,Financial Services,
2018-05-21,453.131103515625,465.1166770921461,447.7182980911568,458.1573136927194,363194,467.140260183848,472.85289267721674,474.29000057286987,-0.06757788492278449,Financial Services,
