Date,Close,High,Low,Open,Volume,EMA_10,EMA_20,EMA_50,RS_NIFTY,Sector,RS_Sector
2018-08-23,418.7296142578125,423.5414641419768,381.9711080487882,386.9317717896816,11600387,418.7296142578125,418.7296142578125,418.7296142578125,,Financial Services,
2018-08-24,403.599609375,416.6957743955712,398.5893508652874,414.7115088032113,785983,415.97870427911926,417.28866141183033,418.13628073299634,,Financial Services,
2018-08-27,397.1011352539063,402.8058985960923,391.8924382893016,402.8058985960923,411202,412.54641900180775,415.3660398729804,417.3113730671497,,Financial Services,
2018-08-28,392.6861572265625,404.7901897163315,391.8924630832131,393.9759480563688,370390,408.9354623153995,413.20605104951204,416.34567832830317,,Financial Services,
2018-08-29,389.66015625,396.8531190324634,385.93965825907065,392.6861491716265,212493,405.43086121259955,410.96358487812995,415.2991872664089,,Financial Services,
2018-08-30,377.3576965332031,388.91603698504144,370.1647341144747,384.94750599539816,296385,400.32664945270926,407.76302408337506,413.8112856690283,,Financial Services,
2018-08-31,381.9215393066406,385.9396650970403,372.9923439702053,377.10968909761897,256303,396.9802657897876,405.30193029511463,412.5607073803072,,Financial Services,
2018-09-03,378.101806640625,384.7987028724529,377.3080822540628,383.4593175705894,80770,393.547818671758,402.7114423280204,411.2093779395354,,Financial Services,
2018-09-04,377.3080749511719,378.9947127471679,372.099377982788,375.0757762504359,162888,390.5951379952878,400.29207400641576,409.87991507724666,,Financial Services,
2018-09-05,373.1411437988281,377.0104555768824,370.4623731876807,375.0261900212146,183808,387.4216845050224,397.7062711295026,408.4391789486812,,Financial Services,
2018-09-06,379.6396179199219,391.8924643154081,372.0498078943748,372.0498078943748,106322,386.0067633077314,395.9856374904949,407.3097843985338,,Financial Services,
2018-09-07,382.2191467285156,385.5923920653006,380.97898077547046,381.9711135379066,144584,385.3181057478739,394.67454313221117,406.32583782323894,,Financial Services,
2018-09-10,373.1411437988281,379.9868539103841,372.3474194100672,379.9868539103841,83141,383.1041126662292,392.62374319569847,405.02447727326205,,Financial Services,
2018-09-11,375.1253967285156,377.9033563019541,373.0419119096925,373.1907257658609,79912,381.6534370411904,390.95723400834777,403.851964310723,,Financial Services,
2018-09-12,368.7261352539063,375.2246230170003,357.6142664765942,375.0261843534367,135269,379.3030185344115,388.8399865079248,402.47448081829884,,Financial Services,
2018-09-14,364.7575988769531,370.6111760367456,363.1205858976663,366.1962034730623,53753,376.65839677850994,386.54642578116557,400.9953874088343,,Financial Services,
2018-09-17,357.3166198730469,364.7576158315755,355.6300122889411,364.7576158315755,293017,373.14171006842577,383.7626347422971,399.28249456429364,,Financial Services,
2018-09-18,354.63787841796875,359.1520705081106,353.1992737593574,356.3244859969549,64000,369.77737704106994,380.9888484256944,397.53172530365345,,Financial Services,
2018-09-19,348.6850891113281,356.9197793451968,339.30942192093755,355.1835469230867,152301,365.94241559929867,377.91229991956425,395.6161709431701,,Financial Services,
2018-09-21,330.08258056640625,353.1496671807384,292.53034963553336,345.2621996467776,159380,359.42244559331823,373.35708855259685,393.04622622251276,,Financial Services,
2018-09-24,290.14923095703125,328.3959358455732,268.9175661697981,322.4431394254118,615181,346.82731565944783,365.4325306863525,389.0110499375919,,Financial Services,
2018-09-25,274.3742980957031,295.25871051224505,256.6151280430833,279.53340047274384,254102,333.6540397387669,356.7603180586716,384.5154910418316,-0.3142373052473336,Financial Services,
2018-09-26,323.5345153808594,329.2392790380836,277.40033971808936,277.40033971808936,447494,331.81412621914734,353.59595589887994,382.12408023159736,-0.16187818779125118,Financial Services,
2018-09-27,298.8304138183594,325.32034161994807,292.6791782990443,322.1455348015036,204139,325.8170876008223,348.3801899864494,378.85766194088217,-0.19849689686550565,Financial Services,
2018-09-28,291.0917663574219,305.5273172049254,283.40273692252026,299.7233340921143,289156,319.5033928292949,342.92414964082775,375.4158621140798,-0.20391602089938832,Financial Services,
2018-10-01,293.02642822265625,297.63983968223283,272.8365197087134,283.749980497062,72722,314.6893992644515,338.17198569624,372.1849039222593,-0.2012963870776452,Financial Services,
2018-10-03,287.6689147949219,293.6217115395453,282.7578453696116,290.6949076957761,156998,309.7765839063552,333.362169419924,368.87055140746173,-0.18020791565122563,Financial Services,
2018-10-04,284.89093017578125,289.7027803570732,277.8964059802111,282.757850690979,54270,305.25191959170536,328.7458609204818,365.57723292778803,-0.1779641291196571,Financial Services,
2018-10-05,278.6405029296875,287.56969812950126,273.87824732329267,284.7421135940622,310535,300.4134801986112,323.9739220642156,362.16794939845073,-0.17262598555370867,Financial Services,
2018-10-08,267.03253173828125,276.6562318173234,261.67502078064,273.82864733822424,110920,294.34421684218756,318.5509325093647,358.4371487058951,-0.21209592883287243,Financial Services,
2018-10-09,263.56005859375,268.9175693803601,260.33562716099993,263.411244736967,61062,288.7470971606534,313.3137064221633,354.7164785054188,-0.21304215878017918,Financial Services,
